Line #;Data item name (in English);Data item name (in French);Description;Data Source;Version;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Units ordered;Unités commandées;Number of units (ie single items/ISBN's) ordered by customers over a given period of time. Please note that an order typically includes multiple units, eg. Customer orders 5 books. For this item, the date to be used is the order_date, ie the date when the order is placed.;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Units shipped;Unités expédiées;Number of units shipped over a given period of time. Please note that a multi-item order may be shipped in multiple shipments. Eg. Customer orders 5 books, 3 of which are shipped first and 2 later. For this item, the date to be used is the ship_date, ie the date when items are shipped.;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Cancelled units;Unités annulées;Number of ordered units that were later cancelled;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Cancellation rate;Taux d'annulation;= Cancelled units / Ordered units;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Number of orders;Nombre de commandes;Number of orders placed by customers over a given period of time.;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Product revenue;Chiffre d'Affaires (CA) produit;Revenue from sales of products (books), excluding VAT. This is the majority of our revenue.;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Shipping revenue;Chiffre d'Affaires (CA) frais de port;Revenue from shipping fees, excluding VAT. This only applies to orders for which we charge shipping, ie Marketplace orders and Website orders in France and Belgium (for other destinations, we apply free shipping on Website orders).;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Revenue;Chiffre d'Affaires (CA);Sum of (Product revenue + Shipping revenue);Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Product cost;Coût d'achat des marchandises;Product_cost = List_price_without_tax (aka RRP excl. VAT - Retail_recommended_price_excl_VAT) - discount applied by the supplier. For example, if a Fiction title has a list_price_excl_VAT of €10.00 and a 40% discount applied by the supplier, then the product cost will be €10.00 x (100% - 40%) = €6.00. Please refer to the July 15 conversation in the #analytics channel for  further details on how product_cost is calculated.;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Pure Product Profit (PPP);Marge commerciale en valeur;PPP = Revenue - Product cost. This is the first type of margin, ie the raw difference between Revenue and Product cost.;Backend MCP server;V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Pure Product Margin (PPM);Marge commerciale en taux;PPM = PPP/Revenue. This is the same as above, but expressed in % of revenue.;Backend MCP server;V1;;;Notes pour Marc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Inbound Freight;Transport entrant;Cost of inbound transportation, ie the cost of bringing the books from the supplier warehouse (usually in the Paris area) to our warehouse in Grenoble. This is calculated by the backend, and in 2026 should be 1.29% of Revenue based on 2025 FY actuals.;Backend MCP server;V1;;;"60821000 TRANSPORT S/ACHATS ARTHAUD 20,3k€ en 2025
60822000 FRAIS TRANSPORTS SUR ACHATS BESSON 94,2k€ en 2025

A diviser par le CA Lireka hors refacturations à Arthaud et hors RFA Editeurs (8880,6k€ en 2025)";0,012893273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
